,Unnamed: 0,index,題名,作者/創建者,所屬期刊,主題,識別號,叢書,學位論文,類型,摘要,內容,其他題名,相關題名,版本,出版者,建立日期,附註,得獎註,適用對象/影視分級,語文註,格式,刊期,醫學主題,政府出版品主題,合訂,課程資訊,架號,權利聲明,資源來源,永久連結,borrowable,id
10,10,10,深入淺出Python ,"Barry, Paul, 著 identifier 蔣大偉, 編譯 ",,Python(電腦程式語言),ISBN : 9789864769902,,,,,,,,二版,臺北市 : 碁峰資訊,2019,含附錄及索引identifier 作者號取自題名(CT),,,,585面 : 圖 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056679760206772,1,10
11,11,11,Python data visualization cookbook ,"Milovanović, Igor, author. ",,Information visualizationidentifier Python (Computer program language),ISBN : 9781782163367identifier ISBN : 1782163360identifier OCLC : (OCoLC)875454474,Quick answers to common problems ,,,"Today, data visualization is a hot topic as a direct result of the vast amount of data created every second. Transforming that data into information is a complex task for data visualization professionals who, at the same time, try to understand the data and objectively transfer that understanding to others. Python Data Visualization Cookbook will progress the reader from the point of installing and setting up a Python environment for data manipulation and visualization all the way to 3D animations using Python libraries. Readers will benefit from over 60 precise and reproducible recipes that guide the reader towards a better understanding of data concepts and the building blocks for subsequent and sometimes more advanced concepts. -- from back cover.","Chapter 1: Preparing your working environment -- Introduction -- Installing matplotlib, NumPy, and SciPy -- Installing virtualenv and virtualenvwrapper -- Installing matplotlib on Mac OS X -- Installing matplotlab on Windows -- Installing Python Imaging Library (PIL) for image processing -- Installing a requests module -- Customizing matplotlib's parameters in code -- Customizing matplotlib's parameters per project -- Chapter 2: Knowing your data -- Introduction -- Importing data from CSV -- Importing data from Microsoft Excel files -- Importing data from fixed-width datafiles -- Importing data from tab-delimited files -- Importing data from a JSON resource -- Exporting data to JSON, CSV, and Excel -- Importing image data into NumPy arrays -- Generating controlled random datasets -- Smoothing the noise in real-world data -- Chapter 3: Drawing your first plots and customizing them -- Introduction -- Defining plot types - bar, line, and stacked charts --^ Drawing a simple sine and cosine plot -- Defining axis lengths and limits -- Defining plot line styles, properties, and format strings -- Setting ticks, lables, and grids -- Adding a legend and annotations -- Moving spines to the center -- Making histograms -- Making bar charts with error bars -- Making pie charts count -- Plotting with filled areas -- Drawing scatter plots with colored markers -- Chapter 4: More plots and customizations -- Introduction -- Setting the transparency and size of axis lables -- Adding a shadow to the chart line -- Adding a data table to the figure -- Using subplots -- Customizing grids -- Creating contour plots -- Filling an under-plot area -- Drawing polar plots -- Visualizing the filesystem tree using a polar bar -- Chapter 5: Making 3D visualizations -- Introduction -- Creating 3D bars -- Creating 3D histograms -- Animating in matplotlib -- Animating with OpenGL -- Chapter 6: Plotting charts with images and maps -- Introduction --^ Processing images with PIL -- Plotting with images -- Displaying an image with other plots in the figure -- Plotting data on a map using Basecamp -- Plotting data on a map using Google Map API -- Generating CAPTCHA images -- Chapter 7: Using right plots to understanding data -- Introduction -- Understanding logarithmic plots -- Understanding spectrograms -- Creating a stem plot -- Drawing streamlines of vector flow -- Using colormaps -- Using scatter plots and histograms -- Plotting the cross-correlation between two variables -- Importance of autocorrelation -- Chapter 8: More on matplotlib gems -- Introduction -- Drawing barbs -- Making a box and a whisker plot -- Making Gantt charts -- Making errorbars -- Making use of text and font properties -- Rendering text with LaTeX -- Understanding the difference between pyplot and OO API.",,,,"Birmingham, UK : Packt Publishing",2013,"""Over 60 recipes that will enable you to learn how to create attractive visualizations using Python's most popular libraries.""identifier Includes index.",,,,"iii, 263 pages : illustrations ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055875630206772,1,11
12,12,12,Python essential reference ,"Beazley, David M. identifier Rossum, Guido van. ",,Python (Computer program language),ISBN : 0735709017 (pbk.) :,,,,,,,,,Indianapolis : New Riders,c2000,Includes index.,,,,"xviii, 319 p. ; 23 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990001100620206772,1,12
13,13,13,精通Python 3程式設計. 第二版 : 全面介紹Python語言 ,"薩墨斐德 (Summerfield, Mark), 著 identifier 蔣大偉, 譯 ",,Python(電腦程式語言)identifier 電腦程式設計,ISBN : 9789862760703,,,,,,"全面介紹Python語言identifier A complete introduction to the Python language, 2nd ed.",,初版,台北市 : 碁峰資訊,2010,"含索引identifier 本書譯自: Programming in Python 3 : a complete introduction to the Python language, 2nd ed.identifier 作者號取自譯者(CT)",,,,"6,630面 : 圖, 表 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991002952319706772,1,13
14,14,14,Python技術參考辭典 ,"Beazley, David, 著 identifier Rossum, Guido Van, 著 identifier 張裕益, 譯 ",,Python(電腦程式語言),ISBN : 9575273427,,,,,,,,初版,台北市 : 博碩,2001,含索引identifier 附錄:Python函式庫等2種identifier 本書譯自: Python essential referenceidentifier 作者號取自譯者(CT),,,,"10, 420面 : 表格 ; 21公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008750590206772,1,14
15,15,15,高效能Python程式設計 ,"Gorelick, Micha, 著 identifier Ozsvald, Ian, 著 identifier 楊仁和, 譯 ",,Python(電腦程式語言),ISBN : 9789863477105,,,,,,,,初版,臺北市 : 碁峰資訊,2015,含索引identifier 本書譯自: High performance Pythonidentifier 作者號取自題名(CT),,,,"366面 : 圖, 表 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055117850206772,1,15
16,16,16,Black hat Python : Python programming for hackers and pentesters ,"Seitz, Justin, author. identifier Arnold, Tim (Computer software developer), author. identifier Miller, Charles Alfred, writer of foreword. ",,Computer programmingidentifier Computer securityidentifier Python (Computer program language)identifier Handbooks and manuals,ISBN : 9781718501126identifier ISBN : 1718501129identifier OCLC : (OCoLC)005778936identifier OCLC : (OCoLC)1249107681,,,,"""When it comes to creating powerful and effective hacking tools, Python is the language of choice for most security analysts. In this second edition of the bestselling Black Hat Python, you'll explore the darker side of Python's capabilities: everything from writing network sniffers, stealing email credentials, and bruteforcing directories to crafting mutation fuzzers, investigating virtual machines, and creating stealthy trojans. All of the code in this edition has been updated to Python 3.x. You'll also find new coverage of bit shifting, code hygiene, and offensive forensics with the Volatility Framework as well as expanded explanations of the Python libraries ctypes, struct, lxml, and BeautifulSoup, and offensive hacking strategies like splitting bytes, leveraging computer vision libraries, and scraping websites. You'll even learn how to: • Create a trojan command-and-control server using GitHub • Detect sandboxing and automate common malware tasks like keylogging and screenshotting • Extend the Burp Suite web-hacking tool • Escalate Windows privileges with creative process control • Use offensive memory forensics tricks to retrieve password hashes and find vulnerabilities on a virtual machine • Abuse Windows COM automation • Exfiltrate data from a network undetected When it comes to offensive security, you need to be able to create powerful tools on the fly. Learn how with Black Hat Python."" --Amazon.com.",Setting up your Python environment -- Basic networking tools -- Writing a sniffer -- Owning the network with Scapy -- Web hackery -- Extending Burp proxy -- GitHub command and control -- Common trojaning tasks on Windows -- Fun with exfiltration -- Windows privilege escalation -- Offensive forensics.,,,2nd edition.,"San Francisco, CA : No Starch Press",2021,,,,,"xviii, 190 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057789360206772,1,16
17,17,17,精通Python第二版 : 運用簡單的套件進行現代運算 ,"Lubanovic, Bill, 著 identifier 賴屹民, 譯 ",,Python(電腦程式語言),ISBN : 978-986-502-486-4,,,,,,運用簡單的套件進行現代運算identifier modern computing in simple packages,"翻譯 : Introducing Python : modern computing in simple packages, 2nd ed ",二版,臺北市 : 碁峰資訊發行,2020,"譯自 : Introducing Python : modern computing in simple packages, 2nd edidentifier 附錄 : 硬體和軟體入門等5種identifier 含索引",,,,"631, [2]面 : 圖 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057683710206772,1,17
18,18,18,Mastering Python data visualization : generate effective results in a variety of visually appealing charts using the plotting packages in Python ,"Raman, Kirthi, author. ",,Information visualizationidentifier Python (Computer program language)identifier Visual analyticsidentifier 005.133identifier Python Programmierspracheidentifier Visualisierung,ISBN : 1783988320identifier ISBN : 9781783988327identifier OCLC : (OCoLC)928444242,Community experience distilled identifier Community experience distilled. ,,,"Python has a handful of open source libraries for numerical computations that involve optimization, linear algebra, integration, interpolation, and other special functions using array objects, machine learning, data mining, and plotting. This book offers practical guidance to help you on the journey to effective data visualization. Commencing with a chapter on the data framework, the book covers the complete visualization process, using the most popular Python libraries with working examples. You will learn how to use NumPy, SciPy, IPython, matplotlib, pandas, patsy, and scikit-learn, with a focus on generating results that can be visualized in many different ways. Further chapters are aimed at not only demonstrating advanced techniques such as interactive plotting; numerical, graphical linear, and nonlinear regression; and clustering and classification, but also helping you understand the aesthetics and best practices of data visualization. The book concludes with interesting examples such as social networks, directed graph examples in real life, data structures appropriate for these problems, and network analysis. -- from back cover.","Chapter 1: A conceptual framework for data visualization -- Data, information, knowledge, and insight -- The transformation of data -- Data visualization history -- How does visualization help decision-making? -- Visualization plots -- Summary -- Chapter 2: Data analysis and visualization -- Why does visualization require planning? -- The Ebola example -- A sports example -- Creating interesting stories with data -- Perception and presentation methods -- Some best practices for visualization -- Visualization tools in Python -- Interaction visualization -- Summary -- Chapter 3: Getting started with the Python IDE -- The IDE tools in Python -- Visualization plots with Anaconda -- Interactive visualization packages -- Summary -- Chapter 4: Numerical computing and interactive plotting -- NumPy, SciPy, and MKL functions -- Scalar selection -- Slicing -- Array indexing -- Other data structures -- Visualization using matplotlib -- The visualization example in sports -- Summary -- Chapter 5: Financial and statistical models -- The deterministic model -- The stochastic model -- The threshold model -- An overview of statistical and machine learning -- Creating animated and interactive plots -- Summary -- Chapter 6: Statistical and machine learning -- k-nearest neighbors -- Logistic regression -- Support vector machines -- Principal component analysis -- k-means clustering -- Summary -- Chapter 7: Bioinformatics, genetics, and network models -- Directed graphs and multigraphs -- The clustering coefficient of graphs -- Analysis of social networks -- The planar graph test -- The directed acyclic graph test -- Maximum flow and minimum cut -- A genetic programming example -- Stochastic block models -- Summary -- Chapter 8: Advanced visualization -- Computer simulation -- Summary.",,,,Birmingham : Packt Publishing Limited,2015,Includes index.,,,,"xii, 349 pages : illustrations ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055875280206772,1,18
19,19,19,"Python for data analysis : data wrangling with pandas, NumPy, and IPython ","McKinney, Wes, author. ",,Programming languages (Electronic computers)identifier Data miningidentifier Python (Computer program language)identifier Python 3.6identifier Datenanalyseidentifier Datenmanagementidentifier Data Mining,LC : 2018302150identifier ISBN : 1491957662identifier ISBN : 9781491957660identifier OCLC : (OCoLC)959595088,,,,"""Get complete instructions for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.6, the second edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively. You'll learn the latest versions of pandas, NumPy, IPython, and Jupyter in the process""--Page 4 of cover.","Preliminaries -- Python language basics, IPython, and Jupyter notebooks -- Built-in data structures, functions, and files -- NumPy basics: arrays and vectorized computation -- Getting started with pandas -- Data loading, storage, and file formats -- Data cleaning and preparation -- Data wrangling: join, combine, and reshape -- Plotting and visualization -- Data aggregation and group operations -- Time series -- Advanced pandas -- Introduction to modeling libraies in Python -- Data analysis examples -- Advanced NumPy -- More on the IPython system.","Data wrangling with pandas, NumPy, and IPython",,Second edition.,"Sebastopol, CA : O'Reilly Media, Inc.",October 2018,"""Revision history for the Second Edition: 2017-09-25: First Release""--Title page verso.identifier First edition: October 2012.identifier Includes index.",,,,"xvi, 524 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056745170206772,1,19
